"variable","E","k","rho","mae","rmse"
"built_density",13,5,0.928583785798469,0.0973257231097406,0.146995858785499
"built_density",13,6,0.925640377765957,0.0998376153165205,0.149931640464855
"built_density",13,7,0.923503975504205,0.102245466796844,0.152079686332401
"built_density",13,8,0.921580687713348,0.104048816520168,0.153966546289971
"built_density",13,9,0.91923725403784,0.106531176417397,0.15628366271592
"built_density",13,10,0.916524852226882,0.109057744711466,0.158844058082378
"built_density",13,11,0.91398685317136,0.111443501259923,0.161214353831864
"built_density",13,12,0.911689566184453,0.113254550910049,0.163313966536288
"built_density",13,13,0.909353662831575,0.115370646715291,0.165419147733629
"built_density",13,14,0.907915005480936,0.116861158649814,0.166744576776625
"built_density",13,15,0.906478506508982,0.118304074798942,0.168068299488434
"built_density",13,16,0.904559748609908,0.119852648607517,0.169702831945028
"built_density",13,17,0.902970852704425,0.121150390304916,0.171072382108976
"built_density",14,4,0.927952427731373,0.0950364637863974,0.147437884736013
"built_density",14,5,0.927904425418393,0.0971839771251294,0.14761059659041
"built_density",14,6,0.92575671276641,0.0995988141182304,0.149787004416636
"built_density",14,7,0.92417008722144,0.101303977039304,0.15139492898832
"built_density",14,8,0.921444385814462,0.103847592345616,0.154043067417542
"built_density",14,9,0.919226369903466,0.10603869028367,0.15621993392274
"built_density",14,10,0.916837277656046,0.108387899431003,0.158485822827656
"built_density",14,11,0.91458455899699,0.110528815013071,0.160595677617594
"built_density",14,12,0.912911964275907,0.112242315226151,0.162170097780218
"built_density",14,13,0.910844219502741,0.114388950378259,0.164065414007335
"built_density",14,14,0.909091610784537,0.115990998123154,0.165662434573774
"built_density",14,15,0.907302213617687,0.117607717010158,0.167282885203216
"built_density",14,16,0.905539140468927,0.119187160624319,0.168828697002727
"built_density",14,17,0.903886624875598,0.120526374997816,0.170248617495048
"built_density",15,4,0.928351959854403,0.0951472523007729,0.147045540630929
"built_density",15,5,0.928429393993808,0.0969742241947435,0.147085829832484
"built_density",15,6,0.926495486117951,0.0991474142504722,0.149062359039977
"built_density",15,7,0.923968219168415,0.101289098548277,0.151555878534584
"built_density",15,8,0.922248531116902,0.103350623410167,0.153281241125811
"built_density",15,9,0.920249319419926,0.105381552464389,0.155231309733495
"built_density",15,10,0.917942229299717,0.107766014341485,0.157442298897393
"built_density",15,11,0.915647093799903,0.1098117235927,0.159591977563169
"built_density",15,12,0.913470009339563,0.111789130930987,0.161635349522187
"built_density",15,13,0.91159216918834,0.113880051288174,0.163363093419321
"built_density",15,14,0.910170826159029,0.115173439331071,0.16466582782902
"built_density",15,15,0.908637590840907,0.116706929558917,0.166077003762398
"built_density",15,16,0.90661766323323,0.118359715300541,0.167826368396169
"built_density",15,17,0.905086095472271,0.119625006928964,0.169157253184857
"green_density",2,4,0.165232979360219,0.138215705669399,0.221500871982997
"green_density",2,5,0.171845526395141,0.136530617787851,0.218327744854543
"green_density",2,6,0.177155439758365,0.135570912186484,0.216334193568267
"green_density",2,7,0.179980233416064,0.134871195592601,0.215077925089791
"green_density",2,8,0.180167170385314,0.134631340720692,0.214405195291272
"green_density",2,9,0.181664073503563,0.134494546210528,0.213609497830325
"green_density",2,10,0.187290829220075,0.133734783229728,0.212475014925969
"green_density",2,11,0.188754761290334,0.133632042831696,0.211983632236294
"green_density",2,12,0.190485848984091,0.133354232501131,0.21157572225765
"green_density",2,13,0.191159314211192,0.133163424941436,0.211267655147046
"green_density",2,14,0.192456128572941,0.132918640263988,0.210944958865381
"green_density",2,15,0.193007000319984,0.132793331210855,0.21069209530858
"green_density",2,16,0.193307225269817,0.132599593939828,0.210510573788067
"green_density",2,17,0.193936023145249,0.132470288948193,0.210310341047972
"green_density",3,4,0.311972595519521,0.124370024359428,0.199840208994668
"green_density",3,5,0.32262562932353,0.123175213525704,0.196322285383893
"green_density",3,6,0.327643200630023,0.122457255423991,0.194601756973764
"green_density",3,7,0.335135071949196,0.121997536045332,0.192835336913194
"green_density",3,8,0.339577019822432,0.121681853150941,0.19177929269221
"green_density",3,9,0.340828251168591,0.121344837472011,0.191210822290368
"green_density",3,10,0.346375357905691,0.121082379405024,0.190315870813464
"green_density",3,11,0.34877572510684,0.121041240841436,0.189876091539405
"green_density",3,12,0.348246358611107,0.120969770510459,0.189676095977363
"green_density",3,13,0.35294553807024,0.120465533849959,0.188908671360666
"green_density",3,14,0.354139714140353,0.120356234095816,0.188623504874722
"green_density",3,15,0.354464386086309,0.120351756022905,0.188429033259011
"green_density",3,16,0.356052330073268,0.120357477429896,0.18811319421082
"green_density",3,17,0.357953821430405,0.120148295744841,0.187791031881808
"green_density",4,4,0.414294822001687,0.114528848676879,0.187766329802275
"green_density",4,5,0.428814282821048,0.113714301093222,0.184005073564493
"green_density",4,6,0.437487489534226,0.112886241006173,0.18190584336043
"green_density",4,7,0.4471545836438,0.112637742261297,0.180015170721945
"green_density",4,8,0.457129516490774,0.11232628541138,0.178447966421434
"green_density",4,9,0.461034899636449,0.112362017440448,0.177676356465003
"green_density",4,10,0.466370056230939,0.112146940350141,0.176847536516562
"green_density",4,11,0.468751425837506,0.112279047928395,0.176325957837899
"green_density",4,12,0.470187809418348,0.112350109380364,0.176002809469679
"green_density",4,13,0.469579303602939,0.112241637374922,0.175992009616806
"green_density",4,14,0.472574472373988,0.112205672133158,0.175524123436374
"green_density",4,15,0.473060577965313,0.112245951278834,0.175413645584013
"green_density",4,16,0.472951430501561,0.112216140028853,0.175366406016677
"green_density",4,17,0.471845206859706,0.112449828368095,0.175436269661216
"green_density",5,4,0.529421237693042,0.101931664661864,0.171043290125617
"green_density",5,5,0.542237884851292,0.10130214921204,0.168308610068519
"green_density",5,6,0.544119378071528,0.101818334637119,0.167566531576602
"green_density",5,7,0.550971472883574,0.102089453146078,0.166268704273363
"green_density",5,8,0.557530456454915,0.10212276598416,0.16514567840636
"green_density",5,9,0.55413892250541,0.102133745551811,0.165496364212828
"green_density",5,10,0.557750040373171,0.101945324373847,0.164945102483393
"green_density",5,11,0.560729580935659,0.10241446822086,0.164515400071371
"green_density",5,12,0.561267090277643,0.102421463367025,0.164436119126521
